region_id,timestamp,energy_consumption,building_type,population_density,historical_peak
R1,2025-01-01 00:00:00,204.50895577445428,Residential,6781,302.6090226966581
R2,2025-01-01 00:00:00,351.7441970470483,Commercial,7086,445.24258332545367
R3,2025-01-01 00:00:00,327.2107173347956,Residential,7624,383.87874372704664
R4,2025-01-01 00:00:00,96.13953488089585,Residential,4746,439.65085831488557
R1,2025-01-01 01:00:00,263.0033799456256,Industrial,6633,316.8119383314563
R2,2025-01-01 01:00:00,117.52357311234807,Residential,4469,455.49344451460377
R3,2025-01-01 01:00:00,260.518757179477,Commercial,4655,437.53279821330807
R4,2025-01-01 01:00:00,149.06910063592065,Residential,4188,334.7516914706825
R1,2025-01-01 02:00:00,140.64055657917078,Industrial,5517,351.9567266339427
R2,2025-01-01 02:00:00,296.8717248610395,Industrial,2637,471.4917201683379
R3,2025-01-01 02:00:00,191.2769792311296,Residential,3575,323.0925923289419
R4,2025-01-01 02:00:00,126.76945446960951,Industrial,2575,388.25994611454854
R1,2025-01-01 03:00:00,231.39906415222546,Residential,4353,487.26798498030143
R2,2025-01-01 03:00:00,390.1347614849565,Residential,1343,474.0672456582554
R3,2025-01-01 03:00:00,299.76811736247686,Residential,4799,435.5645474982839
R4,2025-01-01 03:00:00,212.13549301179629,Residential,1253,452.0358612666349
R1,2025-01-01 04:00:00,320.7913061529384,Commercial,2168,448.2186891614481
R2,2025-01-01 04:00:00,152.17605944444523,Industrial,6925,356.25107177896155
R3,2025-01-01 04:00:00,338.703218458938,Residential,5115,395.0943969572255
R4,2025-01-01 04:00:00,269.8957920157467,Commercial,7364,419.6163952546318
R1,2025-01-01 05:00:00,317.96476429417646,Residential,6248,340.8517788752703
R2,2025-01-01 05:00:00,186.27495084490394,Commercial,4870,407.075141178331
R3,2025-01-01 05:00:00,109.19125448674183,Industrial,3064,441.4610902965695
R4,2025-01-01 05:00:00,156.18401972763138,Industrial,4657,382.9975615660583
R1,2025-01-01 06:00:00,332.75681854948306,Commercial,1982,331.461700636138
R2,2025-01-01 06:00:00,362.7197187696854,Commercial,2925,464.4987456196475
R3,2025-01-01 06:00:00,63.85932799040266,Commercial,4938,479.5334972989473
R4,2025-01-01 06:00:00,296.72225869642887,Commercial,4095,431.0893445295087
R1,2025-01-01 07:00:00,320.5612125763964,Residential,6324,490.1511768747047
R2,2025-01-01 07:00:00,279.6262803333019,Residential,1442,407.0763303908829
R3,2025-01-01 07:00:00,209.69525912457286,Residential,1701,301.7561881432477
R4,2025-01-01 07:00:00,226.47420861962172,Commercial,7678,458.7017748225047
R1,2025-01-01 08:00:00,245.34966005762575,Commercial,1125,459.2179067991801
R2,2025-01-01 08:00:00,277.1819480503385,Industrial,7275,376.48707321392317
R3,2025-01-01 08:00:00,117.70919478539402,Residential,6280,341.8949695719814
R4,2025-01-01 08:00:00,140.5805844445017,Commercial,6076,374.9909833272966
R1,2025-01-01 09:00:00,228.66476238058692,Residential,3005,494.9972883931252
R2,2025-01-01 09:00:00,229.72609427193458,Industrial,2377,476.6864597421375
R3,2025-01-01 09:00:00,178.84487429931667,Commercial,6932,319.8063200917835
R4,2025-01-01 09:00:00,326.38345080206966,Commercial,7704,438.83477068427635
R1,2025-01-01 10:00:00,180.80421945442492,Commercial,7623,464.877790389835
R2,2025-01-01 10:00:00,52.637871210615614,Industrial,6655,328.6984328935758
R3,2025-01-01 10:00:00,313.58362162520604,Residential,2286,460.9224460404197
