region_id,timestamp,energy_consumption,building_type,population_density,historical_peak
R1,2025-12-01 00:00:00,249.96971495030178,Residential,6781,300
R2,2025-12-01 00:00:00,240.96042507190316,Commercial,7086,450
R3,2025-12-01 00:00:00,140.23544498565482,Residential,7624,400
R4,2025-12-01 00:00:00,272.95353113516546,Residential,4746,440
R1,2025-12-01 01:00:00,377.3899880441285,Residential,6781,300
R2,2025-12-01 01:00:00,275.68765923228733,Commercial,7086,450
R3,2025-12-01 01:00:00,213.5959006281118,Residential,7624,400
R4,2025-12-01 01:00:00,125.03925490619515,Residential,4746,440
R1,2025-12-01 02:00:00,271.90590754743124,Residential,6781,300
R2,2025-12-01 02:00:00,364.94251544658346,Commercial,7086,450
R3,2025-12-01 02:00:00,214.843350776121,Residential,7624,400
R4,2025-12-01 02:00:00,239.93866874687964,Residential,4746,440
R1,2025-12-01 03:00:00,358.2547447374277,Residential,6781,300
R2,2025-12-01 03:00:00,286.7574427835079,Commercial,7086,450
R3,2025-12-01 03:00:00,178.05225469301945,Residential,7624,400
R4,2025-12-01 03:00:00,148.89710284521257,Residential,4746,440
R1,2025-12-01 04:00:00,338.8960874262605,Residential,6781,300
R2,2025-12-01 04:00:00,183.54556518521036,Commercial,7086,450
R3,2025-12-01 04:00:00,182.38475611061438,Residential,7624,400
R4,2025-12-01 04:00:00,389.4899937400606,Residential,4746,440
R1,2025-12-01 05:00:00,154.5838137947187,Residential,6781,300
R2,2025-12-01 05:00:00,355.0867154339999,Commercial,7086,450
R3,2025-12-01 05:00:00,170.06350456209478,Residential,7624,400
R4,2025-12-01 05:00:00,195.03836740414638,Residential,4746,440
R1,2025-12-01 06:00:00,207.4103013348468,Residential,6781,300
R2,2025-12-01 06:00:00,315.9274686824642,Commercial,7086,450
R3,2025-12-01 06:00:00,188.39658636680457,Residential,7624,400
R4,2025-12-01 06:00:00,143.33456733421116,Residential,4746,440
R1,2025-12-01 07:00:00,100.30843266708533,Residential,6781,300
R2,2025-12-01 07:00:00,220.80411358544802,Commercial,7086,450
R3,2025-12-01 07:00:00,347.81151730308585,Residential,7624,400
R4,2025-12-01 07:00:00,215.62405932090257,Residential,4746,440
R1,2025-12-01 08:00:00,159.99876128842132,Residential,6781,300
R2,2025-12-01 08:00:00,291.3793858304656,Commercial,7086,450
R3,2025-12-01 08:00:00,115.77967377272142,Residential,7624,400
R4,2025-12-01 08:00:00,378.44106864770424,Residential,4746,440
R1,2025-12-01 09:00:00,282.35211018327925,Residential,6781,300
R2,2025-12-01 09:00:00,136.41123537758614,Commercial,7086,450
R3,2025-12-01 09:00:00,222.55504283910977,Residential,7624,400
R4,2025-12-01 09:00:00,238.4377520511801,Residential,4746,440
R1,2025-12-01 10:00:00,87.0725837134119,Residential,6781,300
R2,2025-12-01 10:00:00,147.728754421979,Commercial,7086,450
R3,2025-12-01 10:00:00,376.140579213759,Residential,7624,400
R4,2025-12-01 10:00:00,379.80582608400476,Residential,4746,440
R1,2025-12-01 11:00:00,184.51108563439152,Residential,6781,300
R2,2025-12-01 11:00:00,374.04571580439244,Commercial,7086,450
R3,2025-12-01 11:00:00,204.61754307173214,Residential,7624,400
R4,2025-12-01 11:00:00,376.17530630917133,Residential,4746,440
R1,2025-12-01 12:00:00,323.81663156265347,Residential,6781,300
R2,2025-12-01 12:00:00,93.19390275437303,Commercial,7086,450
R3,2025-12-01 12:00:00,88.20826611917252,Residential,7624,400
R4,2025-12-01 12:00:00,155.10244391765963,Residential,4746,440
R1,2025-12-01 13:00:00,231.0646668022926,Residential,6781,300
R2,2025-12-01 13:00:00,344.70224453494905,Commercial,7086,450
R3,2025-12-01 13:00:00,213.96820103662432,Residential,7624,400
R4,2025-12-01 13:00:00,289.70645634867515,Residential,4746,440
R1,2025-12-01 14:00:00,340.65896748648686,Residential,6781,300
R2,2025-12-01 14:00:00,81.30610663806834,Commercial,7086,450
R3,2025-12-01 14:00:00,144.64894264026873,Residential,7624,400
