region_id,timestamp,energy_consumption,building_type,population_density,historical_peak
R1,2025-11-01 00:00:00,371.7572641857542,Residential,6781,300
R2,2025-11-01 00:00:00,149.23436031415068,Commercial,7086,450
R3,2025-11-01 00:00:00,99.57971555246559,Residential,7624,400
R4,2025-11-01 00:00:00,94.59366527480964,Residential,4746,440
R1,2025-11-01 01:00:00,334.94057077781616,Residential,6781,300
R2,2025-11-01 01:00:00,139.06197414866438,Commercial,7086,450
R3,2025-11-01 01:00:00,367.308576924932,Residential,7624,400
R4,2025-11-01 01:00:00,301.1537062484763,Residential,4746,440
R1,2025-11-01 02:00:00,307.3641154523327,Residential,6781,300
R2,2025-11-01 02:00:00,113.88748987823558,Commercial,7086,450
R3,2025-11-01 02:00:00,268.47458056012,Residential,7624,400
R4,2025-11-01 02:00:00,118.91081625972629,Residential,4746,440
R1,2025-11-01 03:00:00,346.3170344009236,Residential,6781,300
R2,2025-11-01 03:00:00,90.2317615869973,Commercial,7086,450
R3,2025-11-01 03:00:00,143.5883126238841,Residential,7624,400
R4,2025-11-01 03:00:00,187.7940538258308,Residential,4746,440
R1,2025-11-01 04:00:00,193.75525960598878,Residential,6781,300
R2,2025-11-01 04:00:00,192.9234111427631,Commercial,7086,450
R3,2025-11-01 04:00:00,202.57529304155747,Residential,7624,400
R4,2025-11-01 04:00:00,164.84203552173636,Residential,4746,440
R1,2025-11-01 05:00:00,256.9034909038515,Residential,6781,300
R2,2025-11-01 05:00:00,353.7247131440537,Commercial,7086,450
R3,2025-11-01 05:00:00,369.20123455837313,Residential,7624,400
R4,2025-11-01 05:00:00,169.06736975524186,Residential,4746,440
R1,2025-11-01 06:00:00,213.80683660361512,Residential,6781,300
R2,2025-11-01 06:00:00,276.2095258951431,Commercial,7086,450
R3,2025-11-01 06:00:00,259.7439180465998,Residential,7624,400
R4,2025-11-01 06:00:00,138.3926656051331,Residential,4746,440
R1,2025-11-01 07:00:00,276.99029575827626,Residential,6781,300
R2,2025-11-01 07:00:00,217.69555442572914,Commercial,7086,450
R3,2025-11-01 07:00:00,236.57848588187755,Residential,7624,400
R4,2025-11-01 07:00:00,361.5536291552037,Residential,4746,440
R1,2025-11-01 08:00:00,278.8788870103224,Residential,6781,300
R2,2025-11-01 08:00:00,212.88129271864818,Commercial,7086,450
R3,2025-11-01 08:00:00,90.48186627008246,Residential,7624,400
R4,2025-11-01 08:00:00,215.19055291766102,Residential,4746,440
R1,2025-11-01 09:00:00,148.28833098484876,Residential,6781,300
R2,2025-11-01 09:00:00,89.60903504602823,Commercial,7086,450
R3,2025-11-01 09:00:00,379.9831199255754,Residential,7624,400
R4,2025-11-01 09:00:00,158.13798350659022,Residential,4746,440
R1,2025-11-01 10:00:00,371.03277269680535,Residential,6781,300
R2,2025-11-01 10:00:00,312.185612613222,Commercial,7086,450
R3,2025-11-01 10:00:00,222.24102951496565,Residential,7624,400
R4,2025-11-01 10:00:00,349.1817240560422,Residential,4746,440
R1,2025-11-01 11:00:00,199.84129127551003,Residential,6781,300
